,accid_type,accident_contents,from_direction,lane,lat,lng,reception_date,reception_time,reception_viewpoint,region,to_direction
217,사고,<긴급>=사고=춘천 퇴계4거리에서 석사4거리방향 퇴계4거리 지난 지점 3차로 승용차 단독사고. 사고처리전,퇴계4거리,3,37.857072,127.740310,2020-04-03,9:09,퇴계4거리,춘천,석사4거리
218,사고,<긴급>=사고=속초 영랑동주민센터에서 속초고교 방향 영랑동주민센터 부근 1차로에 오토바이와 승용차간 추돌사고. 사고처리전,영랑동주민센터,1,38.223770,128.588441,2020-04-03,9:03,영랑동주민센터,속초,속초고등학교
219,사고,<긴급>=사고=원주 평원로 평원4거리 내에서 1차로에서 승용차간 추돌사고.처리전,,1,37.352374,127.949520,2020-04-02,17:22,평원4거리,원주,
220,사고,"<긴급>-사고-원주 치악로, 원주교5거리에서 남부시장4거리 방향 남부시장4거리, 화물차와 택시간 추돌사고 , 사고처리 중",원주교5거리,,37.342884,127.955062,2020-04-02,13:58,남부시장4거리,원주,남주시장4거리
221,사고,"<긴급>-사고-원주 천사로, 동진골4거리에서 지하상가4거리 방향 옛,시청부근 아파트에서 오토바이와 승용차간 추돌사고. 사고처리 전",동진골4거리,,37.350516,127.945478,2020-04-02,11:40,,원주,지하상가4거리
222,사고,"<긴급>-사고-횡성/5거리 회전교차로 내, 승용차간 추돌사고, 사고처리 전",,,37.488199,127.985615,2020-04-02,8:15,5거리 회전교차로,횡성,
223,사고,-국가교통정보센터-사고: (국도3호선) 광주 백마터널출구(장호원방향)3차로 통제하여 사고처리중입니다,,3,37.383728,127.282376,2020-04-02,7:42,백마터널 출구,광주,장호원
224,사고,"<긴급>=사고=원주 북원로, 태장교3거리에서 1군사령부4거리 방향 태장교3거리 조금 지난 지점  1차로에 오토바이와승용차간 추돌사고,사고처리전",태장교3거리,1,37.384030,127.947408,2020-04-01,20:03,태장교3거리,원주,1군사령부4거리
225,사고,"<긴급>=사고=속초 속초중학교에서 현대@ 방향 중간지점 승용차간 추돌사고,사고처리전",속초중학교,,38.205676,128.573897,2020-04-01,19:39,현대아파트,속초,현대아파트
226,사고,"<긴급>-사고-속초 노학동 현대2차@에서 3차@ 사이, 승용차 단독사고, 사고처리 전",,,38.206184,128.573915,2020-04-01,19:20,,속초,
227,사고,"-691같은사고-원주 북원로, 단계택지4거리에서 둣내4거리 방향 승용차와 오토바이간 충돌사고. 사고처리 전이고 지체됨",단계택지4거리,,37.347316,127.933936,2020-04-01,18:24,단계택지4거리,원주,둣내4거리
228,사고,"<긴급>-사고-동해 경포@에서 송정동 방향 승용차간 추돌사고, 사고처리 중",경포아파트,,37.514319,129.119117,2020-04-01,17:32,경포아파트,동해,송정동
229,사고,<긴급>=사고=원주 서원대로 늘품4거리에서 우정청4거리 방향 3차로내 승용차간 추돌사고.사고처리중,늘품4거리,3,37.329919,127.950889,2020-04-01,16:08,우정청4거리,원주,우정청4거리
230,사고,"<긴급>-사고- 홍천 국민은행에서 터미널 방향 회전교차로 내 1,2차로에서 승용차간의 추돌사고. 사고처리 전",국민은행,"1, 2",37.688641,127.879566,2020-04-01,15:15,홍천사거리,홍천,터미널
231,사고,=213 같은사고= 제천 의림대로 두손메디컬-청전교차로방향 비둘기아파트앞 1차로에서 승용차간 추돌사고. 사고처리 중임.,두손메디컬,1,37.150956,128.214538,2020-04-01,10:43,비둘기아파트 앞,제천,청전교차로
232,사고,<긴급>=사고= 제천 의림대로 두손메디컬-청전교차로방향 비둘기아파트앞 1차로에서 승용차간 추돌사고. 사고처리 전.,두손메디컬,1,38.150956,128.214539,2020-04-01,10:37,비둘기아파트 앞,제천,청전교차로
